BE,MQB5 Piezometer Berme,BEAB1DS__-3H16,m,HAND,24.8,25.9
BE,MQA3 Piezometer Luftseite,BEAB1DS__-3H07,m,HAND,36.2,37.5
BE,SWD1.10L Sohlenwasserdruck Luftseite ( Kalkzone),BEAB1DS__-3P13,mNHN,AUTO,263.8,266.5
BE,Durchfluss m3/s Bever,BEPBE____-3F01,,LEER,,
BE,Durchfluss m3/s Schevellinger,BEPSC____-3F01,,LEER,,
BE,Durchfluss m3/s von der Neye zur Bever,BEPST____-3F01,,LEER,,
KT,Windrichtung,KTAB1____-3H14,,HAND,,
KT,Wasserstand Verdunstungsbecken,KTAB1____-3H15,mm,HAND,,
BE,SWD1.5L Sohlenwasserdruck Luftseite ( Kalkzone),BEAB1DS__-3P08,mNHN,AUTO,262.4,265
NE,Durchfluß m*3/d Neyebach,NEPNZ____-3F01,m³/d,HAND,,
NE,Abfluß Neyebach ins Tosbecken in l/s,NEPNA____-3F01,l/s,HAND,,
BE,MQA2 Piezometer Wasserseite Fels (Inklinometer),BEAB1DS__-3H06,m,HAND,,
LI,Wetterlage,LI_______-3H01,-,HAND,,
BE,MQA6 Piezometer Berme,BEAB1DS__-3H10,m,HAND,,
BE,große WKA Öffnungsgrad,BEAB1WKA2-2OD1,%,AUTO,,
DH,Wetterlage,DH_______-3H01,-,HAND,,
NE,Stauhöhe,NESK1____-3L01,,,,
NE,Stauinhalt,NESK1____-3U01,,,,
LI,Lufttemperatur minimum Hand,LIAB1____-3H01,°C,HAND,,
LI,Gewitter,LI_______-3H02,-,HAND,,
BE,SWD1.12L Sohlenwasserdruck Luftseite ( Kalkzone),BEAB1DS__-3P15,mNHN,AUTO,257.2,263
SC,Stauhöhe,SCSK1____-3L01,,,,
SC,Stauinhalt,SCSK1____-3U01,,,,
BE,Pumpe Kalkzone,BEAB1KG__-2P03,,LEER,,
BE,SWD1W Sohlenwasserdruck Hand,BEAB1DS__-3H32,mWS,HAND,37.95,47.03
BE,Durchfluss m3/s Müllensiepen,BEPMU____-3F01,,LEER,,
BE,Quatsch,BEPST____-3F02,,LEER,,
NE,Mauertemperatur,NEAB1____-3H03,°C,,,
LI,Lufttemperatur maximum Hand,LIAB1____-3H02,°C,HAND,,
LI,Luftdruck,LIAB1____-3H03,bar,AUTO,0.92,1.01
LI,Temperaturmessung 1 Staumauer TM1_1,LIAB1____-3H04,°C,AUTO,-5,30
BB,SWD2A Sohglenwasserdruck,BBAB1____-3H13,Bar,HAND,-0.043,0.0198
LI,Temperaturmessung 2 Staumauer TM1_2,LIAB1____-3H05,°C,AUTO,-5,30
LI,Temperaturmessung 3 Staumauer TM1_3,LIAB1____-3H06,°C,AUTO,,
DH,WKA 2 rechts Öffnung Leitklappe,DHET1WKA2-2OD1,% ,AUTO,,
LI,Temperaturmessung 4 Staumauer TM1_4,LIAB1____-3H07,°C,AUTO,,
NE,Lufttemperatur minimal,NEAB1____-3H01,°C,HAND,,
LI,Temperaturmessung 5 Staumauer TM2_1,LIAB1____-3H08,°C,AUTO,,
LI,Temperaturmessung 6 Staumauer TM2_2,LIAB1____-3H09,°C,AUTO,,
LI,Temperaturmessung 7 Staumauer TM2_3,LIAB1____-3H10,°C,AUTO,,
LI,Temperaturmessung 8 Staumauer TM2_4,LIAB1____-3H11,°C,AUTO,,
LI,Temperaturmessung 9 Staumauer TM3_1,LIAB1____-3H12,°C,AUTO,,
BU,Stauhöhe Hand,BUAB2____-3H01,mNN,HAND,,
DH,Gewitter,DH_______-3H02,-,HAND,,
BE,Lufttemperatur Maximal,BEAB1____-3H02,°C,HAND,,
LI,Temperaturmessung 10 Staumauer TM3_2,LIAB1____-3H13,°C,AUTO,,
LI,Temperaturmessung 11 Staumauer TM3_3,LIAB1____-3H14,°C,AUTO,,
LI,Temperaturmessung 12 Staumauer TM3_4,LIAB1____-3H15,°C,AUTO,,
BE,Wassertemperatur Oberfläche,BESK1____-3H01,°C,HAND,,
BE,Wassertemperatur 2m Tiefe,BESK1____-3H02,°C,HAND,,
BE,Schneedecke,BESK1____-3H04,cm,HAND,,
BE,Neuschnee,BESK1____-3H05,cm,HAND,,
LI,Temperaturmessung 13 Staumauer TM4_1,LIAB1____-3H16,°C,AUTO,,
LI,Temperaturmessung 14 Staumauer TM4_2,LIAB1____-3H17,°C,AUTO,,
LI,Temperaturmessung 15 Staumauer TM4_3,LIAB1____-3H18,°C,AUTO,,
LI,Temperaturmessung 16 Staumauer TM4_4,LIAB1____-3H19,°C,AUTO,,
LI,GW1 Grundwasser Handeingabe,LIAB1____-3H20,m,HAND,,
LI,GW2 Grundwasser Handeingabe,LIAB1____-3H21,m,HAND,,
